quartiere,annunci airbnb (febbraio 2020),annunci case intere airbnb (febbraio 2020),alloggi,rapporto case intere / alloggi,rapporto annunci / alloggi
Barca          ,40,25,10608,0.235671191553544,0.377073906485671
Bolognina      ,447,259,19714,1.3137871563356,2.26742416556762
Borgo Panigale ,92,61,13445,0.453700260319821,0.684269245072518
Colli          ,96,62,4577,1.35459908236836,2.09744374044134
Corticella     ,51,34,8853,0.384050604314921,0.576075906472382
Costa Saragozza,181,111,14603,0.760117784016983,1.23947134150517
Galvani        ,478,359,9717,3.6945559329011,4.91921374909952
Irnerio        ,786,576,11633,4.95143127310238,6.75664059142096
Lame           ,45,29,7666,0.378293764675189,0.587007565875293
Malpighi       ,414,322,9000,3.57777777777778,4.6
Marconi        ,676,475,10543,4.50535900597553,6.41183723797781
Mazzini        ,102,56,20023,0.279678369874644,0.509414173700245
Murri          ,172,112,16562,0.676246830092984,1.0385219176428
Saffi          ,202,124,11333,1.09414982793612,1.78240536486367
San Donato     ,287,167,7357,2.26994698926193,3.90104662226451
S. Ruffillo    ,53,26,20442,0.127189120438313,0.259270130124254
S. Viola       ,67,45,10761,0.418176749372735,0.622618715732739
S. Vitale      ,306,197,17198,1.14548203279451,1.77927666007675
